[10-Dec-2018 03:49:31 UTC] PHP Warning:  array_merge(): Argument #2 is not an array in /Users/bilvimariajoseph/Documents/Content Management/Project2/img210project2/wp-content/plugins/responsive-lightbox/includes/functions.php on line 24
[10-Dec-2018 03:49:45 UTC] PHP Warning:  array_merge(): Argument #2 is not an array in /Users/bilvimariajoseph/Documents/Content Management/Project2/img210project2/wp-content/plugins/responsive-lightbox/includes/functions.php on line 24
[10-Dec-2018 03:50:36 UTC] PHP Warning:  array_merge(): Argument #2 is not an array in /Users/bilvimariajoseph/Documents/Content Management/Project2/img210project2/wp-content/plugins/responsive-lightbox/includes/functions.php on line 24
[10-Dec-2018 03:52:26 UTC] PHP Warning:  array_merge(): Argument #2 is not an array in /Users/bilvimariajoseph/Documents/Content Management/Project2/img210project2/wp-content/plugins/responsive-lightbox/includes/functions.php on line 24
[10-Dec-2018 03:53:10 UTC] PHP Warning:  array_merge(): Argument #2 is not an array in /Users/bilvimariajoseph/Documents/Content Management/Project2/img210project2/wp-content/plugins/responsive-lightbox/includes/functions.php on line 24
[10-Dec-2018 03:53:53 UTC] PHP Warning:  array_merge(): Argument #2 is not an array in /Users/bilvimariajoseph/Documents/Content Management/Project2/img210project2/wp-content/plugins/responsive-lightbox/includes/functions.php on line 24
[10-Dec-2018 03:58:20 UTC] PHP Warning:  array_merge(): Argument #2 is not an array in /Users/bilvimariajoseph/Documents/Content Management/Project2/img210project2/wp-content/plugins/responsive-lightbox/includes/functions.php on line 24
[10-Dec-2018 04:02:10 UTC] PHP Warning:  array_merge(): Argument #2 is not an array in /Users/bilvimariajoseph/Documents/Content Management/Project2/img210project2/wp-content/plugins/responsive-lightbox/includes/functions.php on line 24
[10-Dec-2018 04:15:48 UTC] PHP Warning:  array_merge(): Argument #2 is not an array in /Users/bilvimariajoseph/Documents/Content Management/Project2/img210project2/wp-content/plugins/responsive-lightbox/includes/functions.php on line 24
[10-Dec-2018 04:26:51 UTC] PHP Warning:  array_merge(): Argument #2 is not an array in /Users/bilvimariajoseph/Documents/Content Management/Project2/img210project2/wp-content/plugins/responsive-lightbox/includes/functions.php on line 24
[10-Dec-2018 18:18:06 UTC] PHP Warning:  An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href="https://wordpress.org/support/">support forums</a>. (WordPress could not establish a secure connection to WordPress.org. Please contact your server administrator.) in /Users/bilvimariajoseph/Documents/Content Management/Project2/img210project2/wp-includes/update.php on line 155
[10-Dec-2018 18:18:07 UTC] PHP Warning:  An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href="https://wordpress.org/support/">support forums</a>. (WordPress could not establish a secure connection to WordPress.org. Please contact your server administrator.) in /Users/bilvimariajoseph/Documents/Content Management/Project2/img210project2/wp-includes/update.php on line 347
[10-Dec-2018 18:18:07 UTC] PHP Warning:  Invalid argument supplied for foreach() in /Users/bilvimariajoseph/Documents/Content Management/Project2/img210project2/wp-includes/update.php on line 357
[10-Dec-2018 18:18:07 UTC] PHP Warning:  Invalid argument supplied for foreach() in /Users/bilvimariajoseph/Documents/Content Management/Project2/img210project2/wp-includes/update.php on line 367
[10-Dec-2018 18:18:07 UTC] PHP Notice:  Undefined index: translations in /Users/bilvimariajoseph/Documents/Content Management/Project2/img210project2/wp-includes/update.php on line 374
[10-Dec-2018 18:18:08 UTC] PHP Warning:  An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href="https://wordpress.org/support/">support forums</a>. (WordPress could not establish a secure connection to WordPress.org. Please contact your server administrator.) in /Users/bilvimariajoseph/Documents/Content Management/Project2/img210project2/wp-includes/update.php on line 529
[22-Dec-2018 01:46:46 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /Users/bilvimariajoseph/Documents/Content Management/Project2/img210project2/wp-includes/wp-db.php on line 1531
[22-Dec-2018 01:46:46 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /Users/bilvimariajoseph/Documents/Content Management/Project2/img210project2/wp-includes/wp-db.php on line 1531
[22-Dec-2018 17:45:14 UTC] PHP Warning:  An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href="https://wordpress.org/support/">support forums</a>. (WordPress could not establish a secure connection to WordPress.org. Please contact your server administrator.) in /Users/bilvimariajoseph/Documents/Content Management/Project2/img210project2/wp-includes/update.php on line 155
[22-Dec-2018 17:45:14 UTC] PHP Warning:  An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href="https://wordpress.org/support/">support forums</a>. (WordPress could not establish a secure connection to WordPress.org. Please contact your server administrator.) in /Users/bilvimariajoseph/Documents/Content Management/Project2/img210project2/wp-includes/update.php on line 347
[22-Dec-2018 17:45:14 UTC] PHP Warning:  An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href="https://wordpress.org/support/">support forums</a>. (WordPress could not establish a secure connection to WordPress.org. Please contact your server administrator.) in /Users/bilvimariajoseph/Documents/Content Management/Project2/img210project2/wp-includes/update.php on line 529
